,,,31423746.0
6,6,11,
60,6,11,
110,6,11,
163,6,11,
6,60,11,
45,60,11,
125,60,11,
163,60,11,
85,60,11,
3,149.5,10,
25,149.5,10,
47,149.5,10,
69,149.5,10,
91,149.5,10,
113,149.5,10,
135,149.5,10,
157,149.5,10,
3,129.0,10,
23,129.0,10,
38,129,10,
59,130,10,
83,129.0,10,
103,129.0,10,
123,129.0,10,
167,106,8,
4,94,8,
98,103,8,
106,115,8,
118,116,8,
5,117,8,
64,113,8,
154,117,8,
143,123,8,
52,92,8,
166,93,8,
81,107,8,
130,113,8,
165,119,8,
143,93,8,
80,96,8,
34,114,8,
128,94,8,
21,106,8,
37,91,8,
21,94,8,
145,135,8,
153,106,8,
102,91,8,
159,135,8,
114,102,8,
21,117,8,
69,101,8,
47,104,8,
113,91,8,
7,105,8,
64,90,8,
142,112,8,
35,103,8,
52,116,8,
92,114,8,
